k, flow, paths, time
1,2, 2, 1744
1,2, 2, 692
1,2, 2, 621
1,2, 2, 559
1,2, 2, 562
1,1, 2, 512
1,2, 2, 646
1,1, 2, 498
1,1, 2, 495
1,1, 2, 489
1,1, 2, 495
1,2, 2, 493
1,1, 2, 499
1,2, 2, 489
1,1, 2, 494
1,1, 2, 494
1,2, 2, 494
1,2, 2, 491
1,2, 2, 492
1,1, 2, 495
1,2, 2, 491
1,1, 2, 490
1,1, 2, 493
1,1, 2, 601
1,2, 2, 504
1,2, 2, 491
1,2, 2, 490
1,1, 2, 587
1,1, 2, 498
1,2, 2, 502
1,2, 2, 487
1,1, 2, 495
1,2, 2, 2780
1,2, 2, 500
1,2, 2, 493
1,1, 2, 492
1,2, 2, 491
1,2, 2, 486
1,2, 2, 2262
1,1, 2, 509
1,2, 2, 582
1,1, 2, 493
1,1, 2, 509
1,2, 2, 502
1,2, 2, 498
1,2, 2, 508
1,1, 2, 492
1,1, 2, 501
1,2, 2, 488
1,2, 2, 583
1,2, 2, 503
1,2, 2, 503
1,2, 2, 501
1,2, 2, 495
1,1, 2, 495
1,2, 2, 495
1,1, 2, 493
1,1, 2, 497
1,2, 2, 502
1,2, 2, 562
1,2, 2, 503
1,1, 2, 494
1,2, 2, 497
1,1, 2, 495
1,1, 2, 501
1,1, 2, 493
1,2, 2, 3779
1,1, 2, 529
1,2, 2, 537
1,1, 2, 513
1,2, 2, 504
1,1, 2, 511
1,1, 2, 508
1,1, 2, 504
1,2, 2, 502
1,1, 2, 510
1,2, 2, 519
1,2, 2, 497
1,1, 2, 505
1,1, 2, 497
1,2, 2, 503
1,2, 2, 552
1,2, 2, 509
1,2, 2, 588
1,2, 2, 512
1,2, 2, 509
1,2, 2, 495
1,2, 2, 497
1,2, 2, 513
1,1, 2, 496
1,1, 2, 514
1,1, 2, 504
1,1, 2, 507
1,2, 2, 504
1,1, 2, 505
1,2, 2, 500
1,1, 2, 500
1,2, 2, 502
1,2, 2, 509
1,1, 2, 507
2,4, 3, 3255
2,5, 3, 1275
2,4, 3, 976
2,3, 3, 1230
2,6, 3, 969
2,5, 3, 1075
2,5, 3, 1017
2,3, 3, 1082
2,4, 3, 994
2,4, 3, 933
2,2, 3, 990
2,4, 3, 986
2,2, 3, 1032
2,2, 3, 895
2,5, 3, 949
2,6, 3, 1062
2,4, 3, 947
2,4, 3, 1017
2,2, 3, 1164
2,6, 3, 980
2,3, 3, 1039
2,2, 3, 957
2,5, 3, 1027
2,2, 3, 1035
2,2, 3, 1025
2,3, 3, 972
2,4, 3, 908
2,2, 3, 987
2,4, 3, 979
2,3, 3, 2827
2,4, 3, 1026
2,3, 3, 964
2,2, 3, 976
2,3, 3, 1018
2,2, 3, 964
2,3, 3, 965
2,2, 3, 1052
2,3, 3, 1037
2,5, 3, 959
2,2, 3, 958
2,3, 3, 5753
2,4, 3, 985
2,4, 3, 953
2,3, 3, 940
2,2, 3, 1054
2,2, 3, 894
2,5, 3, 925
2,3, 3, 1091
2,6, 3, 914
2,5, 3, 921
2,2, 3, 895
2,4, 3, 968
2,5, 3, 889
2,6, 3, 911
2,5, 3, 930
2,6, 3, 1026
2,2, 3, 1049
2,2, 3, 1033
2,5, 3, 890
2,3, 3, 3435
2,5, 3, 1025
2,3, 3, 2609
2,2, 3, 940
2,4, 3, 1002
2,4, 3, 896
2,3, 3, 1101
2,4, 3, 1036
2,4, 3, 906
2,3, 3, 913
2,2, 3, 1033
2,4, 3, 1152
2,3, 3, 1054
2,6, 3, 939
2,3, 3, 3845
2,3, 3, 1076
2,5, 3, 922
2,2, 3, 1044
2,3, 3, 1176
2,3, 3, 961
2,5, 3, 918
2,4, 3, 947
2,3, 3, 1003
2,4, 3, 934
2,4, 3, 922
2,3, 3, 982
2,4, 3, 963
2,5, 3, 897
2,7, 3, 926
2,4, 3, 2767
2,4, 3, 916
2,5, 3, 933
2,5, 3, 921
2,2, 3, 1129
2,3, 3, 906
2,4, 3, 958
2,4, 3, 951
2,3, 3, 1119
2,5, 3, 931
2,3, 3, 949
2,2, 3, 1069
3,10, 5, 5125
3,8, 7, 3681
3,10, 5, 2422
3,5, 5, 5441
3,8, 5, 2579
3,8, 6, 2797
3,12, 7, 3173
3,12, 6, 2560
3,11, 6, 2754
3,7, 5, 2378
3,6, 5, 2015
3,10, 6, 4797
3,7, 5, 2454
3,9, 5, 2441
3,12, 6, 2954
3,9, 6, 4827
3,7, 5, 2385
3,9, 6, 5330
3,8, 5, 2106
3,8, 5, 2405
3,10, 6, 7070
3,5, 5, 2380
3,11, 6, 2676
3,12, 7, 4543
3,6, 6, 2524
3,8, 6, 2748
3,5, 6, 2585
3,5, 4, 1670
3,13, 6, 8845
3,5, 5, 2199
3,8, 5, 2097
3,7, 5, 2522
3,13, 6, 2700
3,6, 4, 2092
3,8, 6, 3016
3,10, 6, 2806
3,7, 5, 2330
3,11, 6, 2776
3,9, 6, 2705
3,7, 6, 2804
3,10, 6, 5393
3,12, 6, 6370
3,8, 5, 2180
3,7, 6, 2717
3,12, 6, 2748
3,10, 7, 4878
3,7, 5, 2298
3,8, 5, 2596
3,12, 5, 2331
3,9, 6, 2559
3,11, 5, 2182
3,9, 6, 5270
3,9, 6, 2585
3,13, 7, 5526
3,9, 6, 2312
3,5, 5, 2111
3,11, 6, 4287
3,9, 5, 2184
3,6, 5, 2019
3,9, 6, 2852
3,6, 4, 2073
3,11, 7, 2841
3,5, 5, 10344
3,10, 6, 4284
3,8, 6, 2561
3,9, 6, 2711
3,9, 6, 6183
3,7, 6, 2816
3,9, 5, 4010
3,12, 6, 2842
3,15, 7, 3000
3,7, 5, 1968
3,7, 5, 2128
3,12, 6, 2560
3,9, 7, 5695
3,8, 5, 2377
3,10, 6, 2590
3,9, 6, 2863
3,12, 6, 5351
3,9, 6, 4438
3,10, 6, 2480
3,10, 6, 2703
3,13, 6, 2654
3,6, 5, 4796
3,8, 6, 2764
3,13, 6, 5174
3,6, 5, 2350
3,12, 6, 2592
3,8, 5, 2404
3,9, 6, 2473
3,8, 6, 4790
3,11, 6, 5221
3,11, 5, 2031
3,8, 6, 2659
3,8, 6, 2768
3,9, 5, 2469
3,7, 5, 2291
3,10, 6, 8072
3,8, 5, 2146
3,9, 6, 2871
4,17, 11, 13146
4,21, 10, 11648
4,23, 12, 10294
4,31, 13, 9546
4,28, 12, 10230
4,19, 12, 8887
4,35, 13, 11894
4,33, 14, 12574
4,31, 15, 10062
4,34, 17, 14034
4,11, 8, 5714
4,23, 11, 9804
4,21, 13, 12219
4,29, 12, 6959
4,24, 12, 11513
4,26, 13, 11785
4,28, 10, 6354
4,28, 13, 10779
4,15, 9, 8201
4,30, 11, 8734
4,37, 16, 16410
4,28, 13, 10594
4,11, 6, 4558
4,32, 11, 6774
4,29, 14, 15545
4,18, 9, 8096
4,28, 13, 8886
4,21, 9, 5302
4,25, 12, 15851
4,9, 7, 3998
4,36, 13, 10774
4,35, 13, 14952
4,29, 12, 8492
4,19, 10, 5948
4,23, 12, 10017
4,25, 10, 7379
4,17, 9, 13065
4,25, 13, 10641
4,35, 14, 12616
4,31, 13, 10566
4,25, 13, 8459
4,31, 13, 12354
4,28, 11, 10821
4,21, 11, 9733
4,27, 12, 10835
4,29, 11, 7616
4,17, 7, 4282
4,10, 7, 3957
4,36, 18, 11297
4,15, 11, 10564
4,33, 14, 11083
4,15, 10, 9367
4,22, 9, 6364
4,17, 9, 7849
4,23, 10, 9600
4,22, 11, 7039
4,26, 12, 13002
4,13, 7, 10051
4,32, 15, 9253
4,26, 9, 8822
4,25, 11, 10326
4,31, 11, 11011
4,24, 9, 7903
4,15, 9, 12317
4,11, 6, 4438
4,23, 13, 10288
4,20, 12, 8832
4,27, 10, 5852
4,29, 12, 10019
4,22, 10, 9056
4,35, 15, 12126
4,27, 13, 9331
4,15, 9, 5357
4,33, 14, 13629
4,22, 9, 5554
4,28, 12, 13511
4,32, 14, 15697
4,25, 13, 12484
4,16, 10, 8563
4,21, 10, 7757
4,29, 12, 11862
4,22, 10, 7163
4,22, 14, 13071
4,13, 7, 9318
4,28, 13, 8109
4,23, 11, 9203
4,29, 11, 11635
4,18, 11, 11789
4,26, 12, 10087
4,22, 10, 6827
4,32, 16, 12081
4,33, 13, 7691
4,27, 11, 6739
4,15, 8, 4800
4,35, 13, 11193
4,25, 11, 9843
4,20, 11, 10176
4,24, 13, 7879
4,12, 9, 6099
4,22, 10, 10723
5,70, 26, 48590
5,75, 32, 51094
5,75, 27, 39595
5,92, 32, 40890
5,62, 25, 31703
5,78, 31, 39947
5,88, 32, 47018
5,33, 18, 24037
5,47, 18, 37305
5,53, 19, 25956
5,53, 20, 26808
5,49, 17, 25566
5,66, 26, 33443
5,67, 23, 31976
5,63, 22, 35486
5,67, 24, 27125
5,65, 30, 46005
5,82, 28, 43634
5,72, 26, 36065
5,86, 34, 47660
5,51, 22, 26341
5,66, 29, 43727
5,87, 32, 46521
5,76, 30, 43231
5,60, 24, 30030
5,84, 31, 43694
5,65, 26, 54084
