k, i, matches, time
3, 1, 5, 3112
3, 1, 7, 1842
3, 1, 4, 2387
3, 1, 6, 1969
3, 1, 5, 2049
3, 1, 6, 1948
3, 1, 6, 1868
3, 1, 5, 2079
3, 1, 5, 2101
3, 1, 4, 2094
3, 1, 5, 2182
3, 1, 6, 1879
3, 1, 5, 1981
3, 1, 6, 1694
3, 1, 6, 1737
3, 1, 6, 1764
3, 1, 4, 2286
3, 1, 4, 2243
3, 1, 3, 2420
3, 1, 5, 1885
3, 1, 6, 1861
3, 1, 4, 2082
3, 1, 6, 1774
3, 1, 5, 2028
3, 1, 6, 1719
3, 1, 4, 2191
3, 1, 4, 2123
3, 1, 4, 2181
3, 1, 4, 2123
3, 1, 5, 1872
3, 1, 7, 1795
3, 1, 4, 2215
3, 1, 6, 1859
3, 1, 4, 2000
3, 1, 6, 1664
3, 1, 6, 1788
3, 1, 5, 1933
3, 1, 5, 1837
3, 1, 6, 1734
3, 1, 5, 1992
3, 1, 6, 1727
3, 1, 5, 2016
3, 1, 5, 1990
3, 1, 5, 1915
3, 1, 3, 2358
3, 1, 5, 1931
3, 1, 5, 1860
3, 1, 6, 1713
3, 1, 5, 1942
3, 1, 4, 2297
3, 1, 6, 1757
3, 1, 5, 1818
3, 1, 6, 1697
3, 1, 5, 1979
3, 1, 5, 2035
3, 1, 5, 1942
3, 1, 3, 2252
3, 1, 4, 2059
3, 1, 5, 1856
3, 1, 5, 1887
3, 1, 6, 1667
3, 1, 4, 2071
3, 1, 6, 2186
3, 1, 4, 5117
3, 1, 3, 2255
3, 1, 5, 1849
3, 1, 3, 2217
3, 1, 4, 1995
3, 1, 5, 1884
3, 1, 3, 2260
3, 1, 4, 2127
3, 1, 4, 2005
3, 1, 6, 1651
3, 1, 6, 1674
3, 1, 6, 1736
3, 1, 4, 5306
3, 1, 4, 2125
3, 1, 4, 2047
3, 1, 5, 2013
3, 1, 4, 2137
3, 1, 5, 1852
3, 1, 5, 2149
3, 1, 5, 1844
3, 1, 5, 1906
3, 1, 5, 1874
3, 1, 6, 1860
3, 1, 4, 2195
3, 1, 5, 1918
3, 1, 4, 2190
3, 1, 4, 1995
3, 1, 6, 1793
3, 1, 4, 2203
3, 1, 5, 1929
3, 1, 6, 1820
3, 1, 4, 2186
3, 1, 6, 1709
3, 1, 5, 1867
3, 1, 4, 1993
3, 1, 6, 1651
3, 1, 4, 2118
3, 2, 7, 13194
3, 2, 7, 3606
3, 2, 6, 4660
3, 2, 5, 4377
3, 2, 6, 3691
3, 2, 7, 3377
3, 2, 7, 4186
3, 2, 7, 4493
3, 2, 7, 3927
3, 2, 6, 4343
3, 2, 7, 3580
3, 2, 6, 3836
3, 2, 6, 3826
3, 2, 6, 3735
3, 2, 6, 4127
3, 2, 7, 2846
3, 2, 7, 4177
3, 2, 7, 3375
3, 2, 7, 3783
3, 2, 7, 3537
3, 2, 6, 17661
3, 2, 7, 3747
3, 2, 5, 4478
3, 2, 7, 2707
3, 2, 7, 3591
3, 2, 6, 4115
3, 2, 7, 2884
3, 2, 7, 8521
3, 2, 7, 3622
3, 2, 7, 2417
3, 2, 7, 2898
3, 2, 6, 3992
3, 2, 6, 5389
3, 2, 7, 3438
3, 2, 6, 4399
3, 2, 7, 3033
3, 2, 6, 3978
3, 2, 7, 3220
3, 2, 6, 3360
3, 2, 6, 3903
3, 2, 6, 3738
3, 2, 6, 5027
3, 2, 7, 3969
3, 2, 6, 5651
3, 2, 7, 3954
3, 2, 7, 4667
3, 2, 6, 3460
3, 2, 6, 4127
3, 2, 6, 3441
3, 2, 6, 4139
3, 2, 6, 3498
3, 2, 6, 3804
3, 2, 5, 3332
3, 2, 7, 3458
3, 2, 7, 2537
3, 2, 7, 7049
3, 2, 6, 3853
3, 2, 6, 3919
3, 2, 7, 3272
3, 2, 7, 3561
3, 2, 7, 3724
3, 2, 7, 3457
3, 2, 7, 3863
3, 2, 7, 2460
3, 2, 7, 3774
3, 2, 7, 3084
3, 2, 7, 3198
3, 2, 7, 2646
3, 2, 6, 3566
3, 2, 7, 4580
3, 2, 6, 3806
3, 2, 5, 4672
3, 2, 6, 3738
3, 2, 6, 2808
3, 2, 7, 2729
3, 2, 7, 2912
3, 2, 7, 2655
3, 2, 6, 3915
3, 2, 6, 3242
3, 2, 6, 3514
3, 2, 5, 5134
3, 2, 6, 4806
3, 2, 7, 2450
3, 2, 7, 3078
3, 2, 7, 3509
3, 2, 6, 3917
3, 2, 7, 3091
3, 2, 7, 3368
3, 2, 6, 3837
3, 2, 7, 2849
3, 2, 7, 3389
3, 2, 6, 6370
3, 2, 6, 4502
3, 2, 6, 4101
3, 2, 6, 3790
3, 2, 6, 3377
3, 2, 7, 3628
3, 2, 6, 3884
3, 2, 7, 3704
3, 2, 7, 2736
3, 3, 7, 5912
3, 3, 7, 5439
3, 3, 7, 5898
3, 3, 7, 5372
3, 3, 7, 4282
3, 3, 7, 4988
3, 3, 7, 5893
3, 3, 7, 5311
3, 3, 7, 7641
3, 3, 7, 6016
3, 3, 7, 5221
3, 3, 7, 5393
3, 3, 7, 4842
3, 3, 7, 4372
3, 3, 6, 5908
3, 3, 7, 5164
3, 3, 7, 5017
3, 3, 7, 4407
3, 3, 7, 4435
3, 3, 7, 4761
3, 3, 7, 4892
3, 3, 7, 4282
3, 3, 6, 5667
3, 3, 7, 5046
3, 3, 7, 10376
3, 3, 6, 5471
3, 3, 7, 5214
3, 3, 7, 4705
3, 3, 7, 4499
3, 3, 7, 3965
3, 3, 7, 4889
3, 3, 6, 5495
3, 3, 7, 4379
3, 3, 7, 4690
3, 3, 7, 4752
3, 3, 7, 4471
3, 3, 6, 5709
3, 3, 7, 5106
3, 3, 7, 5603
3, 3, 6, 5099
3, 3, 7, 4172
3, 3, 7, 4974
3, 3, 7, 5452
3, 3, 7, 5226
3, 3, 6, 5225
3, 3, 6, 5620
3, 3, 7, 4924
3, 3, 7, 4796
3, 3, 7, 6872
3, 3, 7, 6122
3, 3, 7, 3185
3, 3, 6, 5951
3, 3, 7, 4701
3, 3, 7, 4495
3, 3, 7, 4791
3, 3, 7, 9749
3, 3, 7, 5106
3, 3, 7, 5137
3, 3, 7, 4663
3, 3, 6, 4530
3, 3, 7, 6233
3, 3, 7, 4431
3, 3, 7, 4988
3, 3, 7, 4851
3, 3, 7, 4304
3, 3, 7, 5391
3, 3, 7, 3811
3, 3, 7, 9164
3, 3, 7, 4976
3, 3, 7, 4591
3, 3, 7, 4293
3, 3, 7, 4768
3, 3, 7, 6337
3, 3, 6, 5951
3, 3, 7, 4761
3, 3, 7, 4570
3, 3, 7, 5367
3, 3, 7, 5365
3, 3, 7, 5288
3, 3, 7, 5228
3, 3, 6, 4906
3, 3, 7, 4752
3, 3, 7, 4810
3, 3, 7, 5723
3, 3, 7, 4360
3, 3, 6, 5790
3, 3, 7, 4634
3, 3, 7, 4610
3, 3, 6, 5620
3, 3, 7, 4675
3, 3, 7, 4401
3, 3, 7, 4585
3, 3, 7, 4842
3, 3, 7, 5700
3, 3, 7, 4235
3, 3, 7, 4669
3, 3, 7, 5826
3, 3, 6, 6154
3, 3, 7, 4990
3, 3, 6, 5281
4, 1, 10, 6287
4, 1, 10, 6240
4, 1, 10, 6392
4, 1, 8, 6328
4, 1, 10, 6178
4, 1, 12, 5159
4, 1, 11, 5540
4, 1, 10, 5743
4, 1, 11, 5370
4, 1, 9, 6673
4, 1, 10, 6084
4, 1, 11, 5176
4, 1, 10, 5948
4, 1, 13, 4723
4, 1, 13, 4801
4, 1, 8, 6544
4, 1, 9, 5944
4, 1, 9, 6122
4, 1, 10, 5613
4, 1, 9, 6117
4, 1, 9, 6023
