k, flow, paths, time
1,2, 2, 2300
1,2, 4, 1087
1,2, 6, 985
1,2, 8, 911
1,2, 10, 864
1,1, 12, 832
1,2, 14, 792
1,1, 16, 849
1,1, 18, 802
1,1, 20, 830
1,1, 22, 794
1,2, 24, 830
1,1, 26, 800
1,2, 28, 830
1,1, 30, 801
1,1, 32, 835
1,2, 34, 795
1,2, 36, 825
1,2, 38, 794
1,1, 40, 832
1,2, 42, 807
1,1, 44, 826
1,1, 46, 799
1,1, 48, 830
1,2, 50, 803
1,2, 52, 834
1,2, 54, 790
1,1, 56, 834
1,1, 58, 800
1,2, 60, 822
1,2, 62, 794
1,1, 64, 825
1,2, 66, 803
1,2, 68, 838
1,2, 70, 794
1,1, 72, 829
1,2, 74, 789
1,2, 76, 856
1,2, 78, 784
1,1, 80, 817
1,2, 82, 787
1,1, 84, 825
1,1, 86, 803
1,2, 88, 840
1,2, 90, 806
1,2, 92, 830
1,1, 94, 800
1,1, 96, 821
1,2, 98, 800
1,2, 100, 1159
1,2, 102, 1055
1,2, 104, 1186
1,2, 106, 1202
1,2, 108, 1158
1,1, 110, 803
1,2, 112, 826
1,1, 114, 800
1,1, 116, 835
1,2, 118, 797
1,2, 120, 834
1,2, 122, 1199
1,1, 124, 1119
1,2, 126, 10760
1,1, 128, 1430
1,1, 130, 821
1,1, 132, 852
1,2, 134, 793
1,1, 136, 833
1,2, 138, 803
1,1, 140, 1162
1,2, 142, 1140
1,1, 144, 839
1,1, 146, 835
1,1, 148, 836
1,2, 150, 800
1,1, 152, 1146
1,2, 154, 1132
1,2, 156, 1194
1,1, 158, 1245
1,1, 160, 849
1,2, 162, 792
1,2, 164, 836
1,2, 166, 8356
1,2, 168, 857
1,2, 170, 791
1,2, 172, 835
1,2, 174, 799
1,2, 176, 836
1,2, 178, 790
1,1, 180, 840
1,1, 182, 792
1,1, 184, 832
1,1, 186, 798
1,2, 188, 830
1,1, 190, 792
1,2, 192, 833
1,1, 194, 797
1,2, 196, 834
1,2, 198, 783
1,1, 200, 830
2,4, 203, 2542
2,5, 206, 2141
2,4, 209, 1715
2,3, 212, 2128
2,6, 215, 1783
2,5, 218, 2021
2,5, 221, 1839
2,3, 224, 1822
2,4, 227, 1784
2,4, 230, 1623
2,2, 233, 1847
2,4, 236, 1750
2,2, 239, 1943
2,2, 242, 1839
2,5, 245, 1712
2,6, 248, 1965
2,4, 251, 1667
2,4, 254, 1851
2,2, 257, 1868
2,6, 260, 1694
2,3, 263, 1867
2,2, 266, 1735
2,5, 269, 1855
2,2, 272, 1827
2,2, 275, 1931
2,3, 278, 1650
2,4, 281, 1712
2,2, 284, 1843
2,4, 287, 1774
2,3, 290, 1856
2,4, 293, 1812
2,3, 296, 1718
2,2, 299, 1758
2,3, 302, 1861
2,2, 305, 1731
2,3, 308, 1722
2,2, 311, 1616
2,3, 314, 1875
2,5, 317, 1773
2,2, 320, 1771
2,3, 323, 1640
2,4, 326, 1782
2,4, 329, 8176
2,3, 332, 1715
2,2, 335, 1713
2,2, 338, 1637
2,5, 341, 1728
2,3, 344, 1890
2,6, 347, 1579
2,5, 350, 1655
2,2, 353, 1625
2,4, 356, 1657
2,5, 359, 1622
2,6, 362, 1635
2,5, 365, 1626
2,6, 368, 1693
2,2, 371, 1891
2,2, 374, 1865
2,5, 377, 1623
2,3, 380, 1964
2,5, 383, 1883
2,3, 386, 1736
2,2, 389, 1718
2,4, 392, 1861
2,4, 395, 1641
2,3, 398, 1974
2,4, 401, 1721
2,4, 404, 1611
2,3, 407, 1601
2,2, 410, 1878
2,4, 413, 1995
2,3, 416, 1822
2,6, 419, 1861
2,3, 422, 1906
2,3, 425, 1857
2,5, 428, 1616
2,2, 431, 1885
2,3, 434, 1971
2,3, 437, 1777
2,5, 440, 1660
2,4, 443, 1745
2,3, 446, 1720
2,4, 449, 1706
2,4, 452, 1638
2,3, 455, 9843
2,4, 458, 1691
2,5, 461, 1605
2,7, 464, 1619
2,4, 467, 1651
2,4, 470, 1645
2,5, 473, 1622
2,5, 476, 1634
2,2, 479, 1867
2,3, 482, 1618
2,4, 485, 1737
2,4, 488, 1758
2,3, 491, 1886
2,5, 494, 1595
2,3, 497, 1718
2,2, 500, 1991
3,10, 505, 6063
3,8, 512, 12638
3,10, 517, 4702
3,5, 522, 5236
3,8, 527, 6618
3,8, 533, 5404
3,12, 540, 6152
3,12, 546, 5065
3,11, 552, 5394
3,7, 557, 4589
3,6, 562, 3939
3,10, 568, 5486
3,7, 573, 4556
3,9, 578, 4651
3,12, 584, 5430
3,9, 590, 5331
3,7, 595, 4644
3,9, 601, 14325
3,8, 606, 4110
3,8, 611, 4512
3,10, 617, 5434
3,5, 622, 4648
3,11, 628, 5045
3,12, 635, 5680
3,6, 641, 4949
3,8, 647, 5301
3,5, 653, 11091
3,5, 657, 3202
3,13, 663, 4531
3,5, 668, 9861
3,8, 673, 4126
3,7, 678, 4232
3,13, 684, 5304
3,6, 688, 3872
3,8, 694, 5660
3,10, 700, 5434
3,7, 705, 4560
3,11, 711, 5063
3,9, 717, 5152
3,7, 723, 5373
3,10, 729, 10784
3,12, 735, 4851
3,8, 740, 4465
3,7, 746, 5172
3,12, 752, 5291
3,10, 759, 5760
3,7, 764, 4404
3,8, 769, 4349
3,12, 774, 4415
3,9, 780, 5040
3,11, 785, 4097
3,9, 791, 10795
3,9, 797, 16126
3,13, 804, 5957
3,9, 810, 4496
3,5, 815, 4100
3,11, 821, 4727
3,9, 826, 4019
3,6, 831, 3927
3,9, 837, 5327
3,6, 841, 3738
3,11, 848, 5676
3,5, 853, 4408
3,10, 859, 5142
3,8, 865, 4949
3,9, 871, 5227
3,9, 877, 5254
3,7, 883, 5575
3,9, 888, 4598
3,12, 894, 5284
3,15, 901, 6051
3,7, 906, 3779
3,7, 911, 3959
3,12, 917, 6597
3,9, 924, 13778
