k, i, matches
3, 1, 5
3, 1, 7
3, 1, 4
3, 1, 6
3, 1, 5
3, 1, 6
3, 1, 6
3, 1, 5
3, 1, 5
3, 1, 4
3, 1, 5
3, 1, 6
3, 1, 5
3, 1, 6
3, 1, 6
3, 1, 6
3, 1, 4
3, 1, 4
3, 1, 3
3, 1, 5
3, 1, 6
3, 1, 4
3, 1, 6
3, 1, 5
3, 1, 6
3, 1, 4
3, 1, 4
3, 1, 4
3, 1, 4
3, 1, 5
3, 1, 7
3, 1, 4
3, 1, 6
3, 1, 4
3, 1, 6
3, 1, 6
3, 1, 5
3, 1, 5
3, 1, 6
3, 1, 5
3, 1, 6
3, 1, 5
3, 1, 5
3, 1, 5
3, 1, 3
3, 1, 5
3, 1, 5
3, 1, 6
3, 1, 5
3, 1, 4
3, 1, 6
3, 1, 5
3, 1, 6
3, 1, 5
3, 1, 5
3, 1, 5
3, 1, 3
3, 1, 4
3, 1, 5
3, 1, 5
3, 1, 6
3, 1, 4
3, 1, 6
3, 1, 4
3, 1, 3
3, 1, 5
3, 1, 3
3, 1, 4
3, 1, 5
3, 1, 3
3, 1, 4
3, 1, 4
3, 1, 6
3, 1, 6
3, 1, 6
3, 1, 4
3, 1, 4
3, 1, 4
3, 1, 5
3, 1, 4
3, 1, 5
3, 1, 5
3, 1, 5
3, 1, 5
3, 1, 5
3, 1, 6
3, 1, 4
3, 1, 5
3, 1, 4
3, 1, 4
3, 1, 6
3, 1, 4
3, 1, 5
3, 1, 6
3, 1, 4
3, 1, 6
3, 1, 5
3, 1, 4
3, 1, 6
3, 1, 4
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 5
3, 2, 6
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 5
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 6
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 5
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 6
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 6
3, 2, 5
3, 2, 6
3, 2, 6
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 5
3, 2, 6
3, 2, 7
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 7
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 6
3, 2, 7
3, 2, 6
3, 2, 7
3, 2, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 7
3, 3, 6
3, 3, 7
3, 3, 6
4, 1, 10
4, 1, 10
4, 1, 10
4, 1, 8
4, 1, 10
4, 1, 12
4, 1, 11
4, 1, 10
4, 1, 11
4, 1, 9
4, 1, 10
4, 1, 11
4, 1, 10
4, 1, 13
4, 1, 13
4, 1, 8
4, 1, 9
4, 1, 9
4, 1, 10
4, 1, 9
4, 1, 9
4, 1, 10
4, 1, 10
4, 1, 10
4, 1, 11
4, 1, 11
4, 1, 9
4, 1, 11
4, 1, 10
4, 1, 10
4, 1, 11
4, 1, 9
4, 1, 10
4, 1, 11
4, 1, 9
4, 1, 10
4, 1, 8
4, 1, 11
4, 1, 9
4, 1, 8
4, 1, 9
4, 1, 10
4, 1, 9
4, 1, 10
4, 1, 9
4, 1, 10
4, 1, 10
4, 1, 11
4, 1, 11
4, 1, 11
4, 1, 10
4, 1, 9
4, 1, 9
4, 1, 8
4, 1, 11
4, 1, 9
4, 1, 11
4, 1, 8
4, 1, 8
4, 1, 11
4, 1, 10
4, 1, 10
4, 1, 11
4, 1, 10
4, 1, 8
4, 1, 9
4, 1, 11
4, 1, 12
4, 1, 10
4, 1, 10
4, 1, 8
4, 1, 9
4, 1, 9
4, 1, 8
4, 1, 10
4, 1, 12
4, 1, 11
4, 1, 10
4, 1, 11
4, 1, 11
4, 1, 11
4, 1, 11
4, 1, 10
4, 1, 11
4, 1, 10
4, 1, 12
4, 1, 9
4, 1, 10
4, 1, 8
4, 1, 9
4, 1, 8
4, 1, 9
4, 1, 13
4, 1, 8
4, 1, 11
4, 1, 11
4, 1, 10
4, 1, 10
4, 1, 10
4, 1, 9
4, 2, 15
4, 2, 13
4, 2, 11
4, 2, 13
4, 2, 15
4, 2, 14
4, 2, 13
4, 2, 12
4, 2, 14
4, 2, 14
4, 2, 14
4, 2, 12
4, 2, 14
4, 2, 13
4, 2, 13
4, 2, 13
4, 2, 14
4, 2, 13
4, 2, 13
4, 2, 15
4, 2, 14
4, 2, 12
4, 2, 13
4, 2, 12
4, 2, 13
4, 2, 13
4, 2, 13
4, 2, 14
4, 2, 12
4, 2, 13
4, 2, 14
4, 2, 12
4, 2, 13
4, 2, 13
4, 2, 15
4, 2, 15
4, 2, 15
4, 2, 13
4, 2, 12
4, 2, 14
4, 2, 14
4, 2, 15
4, 2, 11
4, 2, 15
4, 2, 13
4, 2, 14
4, 2, 14
4, 2, 14
4, 2, 14
4, 2, 15
4, 2, 14
4, 2, 15
4, 2, 13
4, 2, 15
4, 2, 13
4, 2, 13
4, 2, 13
4, 2, 14
4, 2, 14
4, 2, 13
4, 2, 13
4, 2, 14
4, 2, 13
4, 2, 13
4, 2, 11
4, 2, 13
4, 2, 15
4, 2, 14
4, 2, 14
4, 2, 14
4, 2, 13
4, 2, 14
4, 2, 14
